"Ano";"Nome do autor";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Valor empenhado";"Valor liquidado";"Valor pago";
"2022";"VALMIR ASSUNCAO";"0001";"BAHIA (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"158.515,00";"0,00";"0,00";
"2022";"HUMBERTO COSTA";"0005";"PERNAMBUCO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"159.767,00";"0,00";"0,00";
"2022";"OSMAR SERRAGLIO";"0004";"CIANORTE - PR";"Saúde";"Atenção básica";"159.821,00";"159.821,00";"159.821,00";
"2022";"BIA CAVASSA";"0020";"MATO GROSSO DO SUL (UF)";"Desporto e lazer";"Desporto comunitário";"159.842,00";"0,00";"0,00";
"2022";"JOAO CAMPOS";"0008";"GOIÂNIA - GO";"Assistência social";"Assistência comunitária";"160.216,00";"160.216,00";"160.216,00";
"2022";"LUIZIANNE LINS";"0015";"Nacional";"Saúde";"Formação de recursos humanos";"160.826,00";"160.826,00";"0,00";
"2022";"SEVERINO PESSOA";"0009";"SÃO MIGUEL DOS CAMPOS - AL";"Saúde";"Saneamento básico urbano";"161.466,00";"0,00";"0,00";
"2022";"SARGENTO FAHUR";"0001";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"161.495,00";"0,00";"0,00";
"2022";"NILTO TATTO";"0011";"Nacional";"Saúde";"Desenvolvimento científico";"161.677,00";"0,00";"0,00";
"2022";"CARLOS ZARATTINI";"0005";"ARARAQUARA - SP";"Assistência social";"Assistência comunitária";"161.693,00";"161.693,00";"161.693,00";
"2022";"VICENTINHO";"0021";"Nacional";"Saúde";"Difusão do conhecimento científico e tecnológico";"161.749,00";"0,00";"0,00";
"2022";"JOSEILDO RAMOS";"0004";"BAHIA (UF)";"Saúde";"Vigilância epidemiológica ";"161.760,00";"16.176,00";"0,00";
"2022";"ELI CORREA FILHO";"0014";"NOVA CAMPINA - SP";"Saúde";"Atenção básica";"161.945,00";"161.945,00";"161.945,00";
"2022";"JUNINHO DO PNEU";"0023";"NOVA IGUAÇU - RJ";"Assistência social";"Assistência comunitária";"161.945,00";"161.945,00";"161.945,00";
"2022";"JUNINHO DO PNEU";"0002";"RIO DE JANEIRO (UF)";"Assistência social";"Assistência comunitária";"161.945,00";"161.945,00";"161.945,00";
"2022";"JUNINHO DO PNEU";"0009";"NOVA IGUAÇU - RJ";"Assistência social";"Assistência comunitária";"161.945,00";"161.945,00";"161.945,00";
"2022";"MARIA ELIZA";"0010";"RONDÔNIA (UF)";"Assistência social";"Assistência comunitária";"161.945,00";"161.945,00";"161.945,00";
"2022";"BOSCO COSTA";"0005";"SERGIPE (UF)";"Assistência social";"Assistência comunitária";"162.332,00";"0,00";"0,00";
"2022";"BENES LEOCADIO";"0008";"RIO GRANDE DO NORTE (UF)";"Educação";"Ensino profissional";"162.380,00";"0,00";"0,00";
"2022";"AMARO NETO";"0004";"ESPÍRITO SANTO (UF)";"Assistência social";"Assistência comunitária";"162.493,00";"162.493,00";"162.493,00";
"2022";"LUCAS REDECKER";"0012";"CAMPO BOM - RS";"Saúde";"Atenção básica";"162.508,00";"162.508,00";"162.508,00";
"2022";"LIZIANE BAYER";"0004";"RIO GRANDE DO SUL (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"162.557,00";"0,00";"0,00";
"2022";"HAROLDO CATHEDRAL";"0008";"RORAIMA (UF)";"Assistência social";"Assistência comunitária";"162.744,00";"162.744,00";"162.744,00";
"2022";"ZE NETO";"0002";"BAHIA (UF)";"Assistência social";"Assistência comunitária";"162.744,00";"162.744,00";"162.744,00";
"2022";"VALMIR ASSUNCAO";"0004";"BAHIA (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"162.896,00";"0,00";"0,00";
"2022";"MISAEL VARELLA";"0008";"BARÃO DE MONTE ALTO - MG";"Saúde";"Atenção básica";"162.917,00";"162.917,00";"162.917,00";
"2022";"CELIO MOURA";"0001";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"162.932,00";"0,00";"0,00";
"2022";"ATILA LINS";"0001";"AMAZONAS (UF)";"Educação";"Ensino profissional";"162.960,00";"31.520,00";"13.600,00";
"2022";"ROBERIO MONTEIRO";"0021";"TEJUÇUOCA - CE";"Saúde";"Atenção básica";"162.961,00";"162.961,00";"162.961,00";
"2022";"ROBERIO MONTEIRO";"0020";"APUIARÉS - CE";"Saúde";"Atenção básica";"162.961,00";"162.961,00";"162.961,00";
"2022";"NATALIA BONAVIDES";"0006";"RIO GRANDE DO NORTE (UF)";"Saúde";"Formação de recursos humanos";"162.961,00";"0,00";"0,00";
"2022";"ROBERIO MONTEIRO";"0025";"SANTANA DO ACARAÚ - CE";"Saúde";"Atenção básica";"162.961,00";"162.961,00";"162.961,00";
"2022";"HUMBERTO COSTA";"0014";"PERNAMBUCO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"162.962,00";"162.962,00";"162.962,00";
"2022";"EDUARDO CURY";"0012";"SÃO JOSÉ DOS CAMPOS - SP";"Defesa nacional";"Desenvolvimento tecnológico e engenharia";"163.229,84";"24.711,98";"24.711,98";
"2022";"LOESTER TRUTIS";"0004";"MATO GROSSO DO SUL (UF)";"Assistência social";"Assistência comunitária";"163.497,00";"163.497,00";"163.497,00";
"2022";"TALIRIA PETRONE";"0008";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"164.609,06";"2.573,76";"103,96";
"2022";"ELIAS VAZ";"0007";"GOIÁS (UF)";"Educação";"Ensino superior";"164.800,00";"12.900,00";"12.900,00";
"2022";"GONZAGA PATRIOTA";"0017";"Nacional";"Defesa nacional";"Educação básica";"165.000,00";"0,00";"0,00";
"2022";"FELICIO LATERCA";"0002";"RIO DE JANEIRO (UF)";"Saúde";"Atenção básica";"165.104,00";"165.104,00";"165.104,00";
"2022";"ANGELA AMIN";"0005";"SANTA CATARINA (UF)";"Ciência e Tecnologia";"Desenvolvimento científico";"165.866,67";"165.866,67";"165.866,67";
"2022";"AIRTON FALEIRO";"0005";"PARÁ (UF)";"Educação";"Ensino superior";"167.400,00";"164.700,00";"164.700,00";
"2022";"BETO ROSADO";"0001";"RIO GRANDE DO NORTE (UF)";"Educação";"Ensino superior";"169.301,80";"0,00";"0,00";
"2022";"JULIO DELGADO";"0010";"JUIZ DE FORA - MG";"Educação";"Ensino profissional";"169.750,57";"0,00";"0,00";
"2022";"GLEISI HOFFMANN";"0017";"PARANÁ (UF)";"Educação";"Ensino superior";"170.000,00";"170.000,00";"170.000,00";
"2022";"OSSESIO SILVA";"0004";"PERNAMBUCO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"171.727,00";"171.727,00";"171.727,00";
"2022";"PAULO TEIXEIRA";"0011";"SÃO PAULO (UF)";"Educação";"Assistência hospitalar e ambulatorial";"171.761,32";"42.527,22";"4.999,98";
"2022";"LUISA CANZIANI";"0007";"PARANÁ (UF)";"Saúde";"Atenção básica";"172.000,00";"0,00";"0,00";
"2022";"PEDRO CUNHA LIMA";"0001";"PARAÍBA (UF)";"Educação";"Ensino profissional";"172.228,29";"6.848,00";"0,00";
"2022";"ALESSANDRO MOLON";"0022";"RIO DE JANEIRO (UF)";"Gestão ambiental";"Preservação e conservação ambiental";"172.256,12";"0,00";"0,00";
"2022";"BIA CAVASSA";"0015";"MATO GROSSO DO SUL (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"172.659,20";"51.001,70";"28.731,00";
"2022";"HUGO LEAL";"0007";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"173.463,06";"170.463,06";"170.463,06";
"2022";"ALINE SLEUTJES";"0005";"CASTRO - PR";"Assistência social";"Assistência comunitária";"173.579,00";"173.579,00";"173.579,00";
"2022";"PAULA BELMONTE";"0017";"DISTRITO FEDERAL (UF)";"Saúde";"Atenção básica";"173.750,00";"173.750,00";"173.750,00";
"2022";"MARILIA ARRAES";"0007";"PERNAMBUCO (UF)";"Saúde";"Atenção básica";"174.000,00";"0,00";"0,00";
"2022";"JULIO CESAR RIBEIRO";"0005";"BRASÍLIA - DF";"Defesa nacional";"Desporto comunitário";"174.999,94";"0,00";"0,00";
"2022";"PAULAO";"0017";"Nacional";"Encargos especiais";"Outros encargos especiais";"175.000,00";"175.000,00";"175.000,00";
"2022";"LUIZ LIMA";"0015";"RIO DE JANEIRO (UF)";"Desporto e lazer";"Desporto comunitário";"177.931,00";"0,00";"0,00";
"2022";"LIZIANE BAYER";"0001";"RIO GRANDE DO SUL (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"178.096,00";"0,00";"0,00";
"2022";"FRANCISCO JR.";"0013";"GOIÁS (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"179.294,77";"157.775,00";"157.775,00";
"2022";"WEVERTON";"0007";"MARANHÃO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"179.415,85";"93.500,00";"93.500,00";
"2022";"MARIA DO CARMO ALVES";"0010";"SERGIPE (UF)";"Defesa nacional";"Administração geral";"179.959,30";"179.959,30";"179.959,30";
"2022";"SIDNEY LEITE";"0010";"AMAZONAS (UF)";"Agricultura";"Promoção da produção agropecuária";"180.000,00";"0,00";"0,00";
"2022";"CLEBER VERDE";"0003";"MARANHÃO (UF)";"Educação";"Ensino superior";"180.000,00";"0,00";"0,00";
"2022";"BALEIA ROSSI";"0001";"SÃO PAULO (UF)";"Desporto e lazer";"Desporto comunitário";"180.000,00";"179.978,28";"179.978,28";
"2022";"PROFESSORA MARCIVANIA";"0004";"SANTANA - AP";"Encargos especiais";"Outras transferências";"180.000,00";"180.000,00";"180.000,00";
"2022";"JOAO CAMPOS";"0010";"GOIÁS (UF)";"Educação";"Ensino superior";"180.000,00";"0,00";"0,00";
"2022";"JOSE MARIO SCHREINER";"0001";"GOIÁS (UF)";"Saúde";"Atenção básica";"183.222,00";"183.222,00";"183.222,00";
"2022";"IZALCI LUCAS";"0014";"DISTRITO FEDERAL (UF)";"Desporto e lazer";"Desporto comunitário";"183.682,00";"0,00";"0,00";
"2022";"CARLA DICKSON";"0002";"RIO GRANDE DO NORTE (UF)";"Segurança pública";"Policiamento";"184.256,66";"0,00";"0,00";
"2022";"JADER BARBALHO";"0009";"Nacional";"Defesa nacional";"Defesa terrestre";"184.782,03";"184.782,03";"38.150,06";
"2022";"SAMIA BOMFIM";"0024";"SÃO PAULO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"185.546,00";"0,00";"0,00";
"2022";"MAGDA MOFATTO";"0005";"GOIÁS (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"186.410,00";"186.410,00";"186.410,00";
"2022";"JULIO DELGADO";"0007";"MINAS GERAIS (UF)";"Educação";"Educação básica";"186.631,98";"0,00";"0,00";
"2022";"RUY CARNEIRO";"0007";"SOBRADO - PB";"Urbanismo";"Assistência comunitária";"187.600,00";"187.600,00";"187.600,00";
"2022";"ANDRE ABDON";"0006";"AMAPÁ (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"188.056,99";"22.338,65";"0,00";
"2022";"PLINIO VALERIO";"0007";"Nacional";"Agricultura";"Desenvolvimento tecnológico e engenharia";"188.117,75";"5.123,75";"5.123,75";
"2022";"ATILA LIRA";"0006";"ILHA GRANDE - PI";"Comércio e serviços";"Turismo";"189.000,00";"0,00";"0,00";
"2022";"CARLOS PORTINHO";"0013";"RIO DE JANEIRO - RJ";"Defesa nacional";"Administração geral";"189.985,30";"189.985,30";"189.985,30";
"2022";"LUIZIANNE LINS";"0013";"CEARÁ (UF)";"Educação";"Ensino superior";"190.312,80";"0,00";"0,00";
"2022";"NATALIA BONAVIDES";"0009";"RIO GRANDE DO NORTE (UF)";"Educação";"Ensino profissional";"190.622,12";"0,00";"0,00";
"2022";"HELIO LOPES";"0001";"RIO DE JANEIRO - RJ";"Defesa nacional";"Atenção básica";"191.000,00";"191.000,00";"191.000,00";
"2022";"HELIO COSTA";"0001";"SANTA CATARINA (UF)";"Agricultura";"Promoção da produção agropecuária";"191.000,00";"0,00";"0,00";
"2022";"VANDERLAN CARDOSO";"0008";"GOIÁS (UF)";"Educação";"Ensino superior";"191.439,91";"48.662,60";"48.662,60";
"2022";"PAULO GANIME";"0021";"RIO DE JANEIRO (UF)";"Educação";"Assistência hospitalar e ambulatorial";"192.539,00";"192.539,00";"192.539,00";
"2022";"FERNANDO COLLOR";"0006";"Exterior";"Relações exteriores";"Difusão cultural";"192.812,51";"127.291,02";"127.291,02";
"2022";"ROMARIO";"0011";"Nacional";"Defesa nacional";"Atenção básica";"193.065,00";"108.000,00";"0,00";
"2022";"PROFESSOR JOZIEL";"0008";"SANTA MARIA MADALENA - RJ";"Saúde";"Atenção básica";"193.275,00";"193.275,00";"193.275,00";
"2022";"FABIO HENRIQUE";"0006";"Nacional";"Defesa nacional";"Normatização e fiscalização";"193.392,07";"169.072,09";"126.185,09";
"2022";"GENERAL PETERNELLI";"0014";"SÃO JOSÉ DOS CAMPOS - SP";"Defesa nacional";"Atenção básica";"193.682,61";"193.682,61";"193.682,61";
"2022";"FELICIO LATERCA";"0009";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"193.850,96";"29.998,40";"1.498,40";
"2022";"LUIZIANNE LINS";"0012";"CEARÁ (UF)";"Educação";"Ensino superior";"194.149,76";"68.149,76";"33.946,56";
"2022";"ROGERIO CORREIA";"0015";"RIO DE JANEIRO (UF)";"Saúde";"Formação de recursos humanos";"194.482,00";"62.000,00";"0,00";
"2022";"LOESTER TRUTIS";"0009";"MATO GROSSO DO SUL (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"195.823,00";"195.823,00";"195.823,00";
"2022";"AFONSO MOTTA";"0008";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino superior";"197.000,00";"0,00";"0,00";
"2022";"TABATA AMARAL";"0008";"SÃO PAULO (UF)";"Educação";"Educação básica";"197.892,09";"0,00";"0,00";
"2022";"ROMARIO";"0008";"RIO DE JANEIRO (UF)";"Educação";"Educação básica";"197.974,85";"0,00";"0,00";
"2022";"VANDERLAN CARDOSO";"0010";"Nacional";"Defesa nacional";"Defesa naval";"198.509,92";"198.509,92";"198.509,92";
"2022";"ADRIANA VENTURA";"0006";"SÃO PAULO (UF)";"Defesa nacional";"Desporto comunitário";"198.829,00";"0,00";"0,00";
"2022";"BETO PEREIRA";"0006";"Nacional";"Defesa nacional";"Defesa terrestre";"198.965,65";"101.486,37";"0,00";
"2022";"BIA CAVASSA";"0013";"MATO GROSSO DO SUL (UF)";"Defesa nacional";"Defesa naval";"199.189,60";"199.189,60";"158.311,30";
"2022";"LUIS TIBE";"0003";"MINAS GERAIS (UF)";"Defesa nacional";"Administração geral";"199.230,00";"194.230,00";"194.230,00";
"2022";"GUIGA PEIXOTO";"0002";"SÃO PAULO (UF)";"Segurança pública";"Policiamento";"199.302,50";"0,00";"0,00";
"2022";"JOSE RICARDO";"0013";"Nacional";"Ciência e Tecnologia";"Desenvolvimento científico";"199.365,00";"0,00";"0,00";
"2022";"ESPERIDIAO AMIN";"0016";"Nacional";"Defesa nacional";"Defesa naval";"199.653,29";"195.198,85";"141.359,49";
"2022";"EDUARDO CURY";"0008";"SÃO PAULO (UF)";"Saúde";"Atenção básica";"199.669,00";"199.669,00";"199.669,00";
"2022";"OSMAR TERRA";"0003";"Nacional";"Agricultura";"Difusão do conhecimento científico e tecnológico";"199.731,57";"28.490,82";"28.490,82";
"2022";"ALE SILVA";"0008";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"199.733,89";"199.733,89";"198.695,89";
"2022";"BOHN GASS";"0005";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino superior";"199.755,00";"0,00";"0,00";
"2022";"TABATA AMARAL";"0005";"SÃO PAULO (UF)";"Educação";"Ensino superior";"199.895,57";"0,00";"0,00";
"2022";"BRUNA FURLAN";"0002";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"199.899,00";"199.899,00";"199.899,00";
"2022";"EDUARDO CURY";"0011";"SÃO JOSÉ DOS CAMPOS - SP";"Defesa nacional";"Ensino superior";"199.900,69";"102.051,69";"63.323,32";
"2022";"BOSCO COSTA";"0003";"SERGIPE (UF)";"Defesa nacional";"Administração geral";"199.919,61";"29.647,58";"0,00";
"2022";"TIRIRICA";"0006";"SÃO PAULO (UF)";"Defesa nacional";"Formação de recursos humanos";"199.932,00";"199.932,00";"140.296,48";
"2022";"DRA. SORAYA MANATO";"0002";"ESPÍRITO SANTO (UF)";"Defesa nacional";"Defesa naval";"199.934,62";"4.658,00";"0,00";
"2022";"FLAVIO BOLSONARO";"0020";"Nacional";"Defesa nacional";"Defesa naval";"199.972,22";"151.445,04";"121.752,41";
"2022";"CORONEL ARMANDO";"0019";"Nacional";"Defesa nacional";"Defesa terrestre";"199.978,32";"113.758,32";"81.994,01";
"2022";"ALE SILVA";"0004";"MINAS GERAIS (UF)";"Saúde";"Atenção básica";"199.980,00";"0,00";"0,00";
"2022";"VINICIUS CARVALHO";"0010";"Nacional";"Defesa nacional";"Defesa terrestre";"199.999,23";"199.996,15";"199.996,15";
"2022";"FELICIO LATERCA";"0012";"Nacional";"Defesa nacional";"Administração geral";"199.999,25";"0,00";"0,00";
"2022";"RUBENS OTONI";"0010";"GOIÁS (UF)";"Assistência social";"Alimentação e nutrição";"199.999,90";"0,00";"0,00";
"2022";"MARCOS DO VAL";"0012";"ESPÍRITO SANTO (UF)";"Segurança pública";"Custódia e reintegração social";"200.000,00";"0,00";"0,00";
"2022";"HUMBERTO COSTA";"0011";"PERNAMBUCO (UF)";"Desporto e lazer";"Desporto de rendimento";"200.000,00";"0,00";"0,00";
"2022";"RUY CARNEIRO";"0001";"PARAÍBA (UF)";"Cultura";"Difusão cultural";"200.000,00";"200.000,00";"200.000,00";
"2022";"ABILIO SANTANA";"0007";"SOUTO SOARES - BA";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"EROS BIONDINI";"0007";"MINAS GERAIS (UF)";"Segurança pública";"Custódia e reintegração social";"200.000,00";"0,00";"0,00";
"2022";"ARLINDO CHINAGLIA";"0005";"SÃO PAULO (UF)";"Educação";"Ensino profissional";"200.000,00";"0,00";"0,00";
"2022";"LUCIANO BIVAR";"0010";"Nacional";"Defesa nacional";"Normatização e fiscalização";"200.000,00";"200.000,00";"194.230,00";
"2022";"JULIO CESAR";"0019";"JATOBÁ DO PIAUÍ - PI";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"DAVID MIRANDA";"0020";"RIO DE JANEIRO (UF)";"Desporto e lazer";"Desporto comunitário";"200.000,00";"0,00";"0,00";
"2022";"DANIEL ALMEIDA";"0007";"BAHIA (UF)";"Educação";"Ensino superior";"200.000,00";"200.000,00";"200.000,00";
"2022";"AUGUSTO COUTINHO";"0017";"PERNAMBUCO (UF)";"Segurança pública";"Policiamento";"200.000,00";"0,00";"0,00";
"2022";"DR. FREDERICO";"0002";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"EDUARDO GIRAO";"0005";"CEARÁ (UF)";"Agricultura";"Promoção da produção agropecuária";"200.000,00";"0,00";"0,00";
"2022";"LUIZA ERUNDINA";"0018";"PARAÍBA (UF)";"Cultura";"Patrimônio histórico, artístico e arqueológico";"200.000,00";"0,00";"0,00";
"2022";"ZENAIDE MAIA";"0004";"CARNAÚBA DOS DANTAS - RN";"Desporto e lazer";"Desporto comunitário";"200.000,00";"0,00";"0,00";
"2022";"MARCELO CALERO";"0016";"RIO DE JANEIRO - RJ";"Cultura";"Difusão cultural";"200.000,00";"0,00";"0,00";
"2022";"FLAVIO BOLSONARO";"0017";"Nacional";"Defesa nacional";"Desenvolvimento científico";"200.000,00";"198.627,11";"20.000,00";
"2022";"EROS BIONDINI";"0019";"MINAS GERAIS (UF)";"Educação";"Ensino superior";"200.000,00";"190.000,00";"0,00";
"2022";"ADRIANA VENTURA";"0004";"SÃO PAULO (UF)";"Ciência e Tecnologia";"Difusão do conhecimento científico e tecnológico";"200.000,00";"0,00";"0,00";
"2022";"CAPITAO FABIO ABREU";"0003";"PIAUÍ (UF)";"Segurança pública";"Policiamento";"200.000,00";"0,00";"0,00";
"2022";"CARLA ZAMBELLI";"0002";"SÃO PAULO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"RENAN CALHEIROS";"0005";"DELMIRO GOUVEIA - AL";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"ANDRE DE PAULA";"0006";"PERNAMBUCO (UF)";"Cultura";"Difusão cultural";"200.000,00";"0,00";"0,00";
"2022";"MILTON COELHO";"0016";"PERNAMBUCO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"ORIOVISTO GUIMARAES";"0011";"Nacional";"Encargos especiais";"Outros encargos especiais";"200.000,00";"200.000,00";"200.000,00";
"2022";"CARMEN ZANOTTO";"0006";"SANTA CATARINA (UF)";"Desporto e lazer";"Desporto comunitário";"200.000,00";"0,00";"0,00";
"2022";"PROFESSOR JOZIEL";"0007";"APERIBÉ - RJ";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"SOSTENES CAVALCANTE";"0017";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"200.000,00";"200.000,00";"200.000,00";
"2022";"ALAN RICK";"0020";"ACRE (UF)";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"MARCON";"0006";"Sul";"Agricultura";"Promoção da produção agropecuária";"200.000,00";"0,00";"0,00";
"2022";"BALEIA ROSSI";"0003";"SÃO PAULO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"FREI ANASTACIO RIBEIRO";"0011";"PARAÍBA (UF)";"Assistência social";"Alimentação e nutrição";"200.000,00";"200.000,00";"0,00";
"2022";"PAULA BELMONTE";"0015";"DISTRITO FEDERAL (UF)";"Cultura";"Difusão cultural";"200.000,00";"200.000,00";"200.000,00";
"2022";"TADEU ALENCAR";"0017";"PERNAMBUCO (UF)";"Segurança pública";"Policiamento";"200.000,00";"0,00";"0,00";
"2022";"PEDRO CUNHA LIMA";"0005";"CAMPINA GRANDE - PB";"Agricultura";"Promoção da produção agropecuária";"200.000,00";"0,00";"0,00";
"2022";"MARCOS DO VAL";"0015";"ESPÍRITO SANTO (UF)";"Segurança pública";"Policiamento";"200.000,00";"52.900,00";"0,00";
"2022";"HIRAN GONCALVES";"0014";"IRACEMA - RR";"Agricultura";"Promoção da produção agropecuária";"200.000,00";"0,00";"0,00";
"2022";"ORLANDO SILVA";"0007";"SÃO PAULO (UF)";"Ciência e Tecnologia";"Desenvolvimento científico";"200.000,00";"0,00";"0,00";
"2022";"RENILDO CALHEIROS";"0001";"PERNAMBUCO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"GUSTAVO FRUET";"0013";"PARANÁ (UF)";"Educação";"Ensino superior";"200.000,00";"0,00";"0,00";
"2022";"RENILDO CALHEIROS";"0010";"RECIFE - PE";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"ARLINDO CHINAGLIA";"0007";"SÃO PAULO (UF)";"Educação";"Ensino profissional";"200.000,00";"21.066,76";"17.466,76";
"2022";"NEREU CRISPIM";"0003";"SANTA CATARINA (UF)";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"MARCIO MARINHO";"0008";"Nacional";"Defesa nacional";"Desenvolvimento científico";"200.000,00";"200.000,00";"200.000,00";
"2022";"MISAEL VARELLA";"0015";"MUTUM - MG";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"JOAQUIM PASSARINHO";"0002";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"VICENTINHO";"0008";"Nacional";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"PATRUS ANANIAS";"0003";"MINAS GERAIS (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"100.000,00";"100.000,00";
"2022";"EDUARDO GIRAO";"0012";"CEARÁ (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"200.000,00";"100.000,00";
"2022";"MISAEL VARELLA";"0013";"BARÃO DE MONTE ALTO - MG";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"EDUARDO GIRAO";"0006";"CEARÁ (UF)";"Gestão ambiental";"Preservação e conservação ambiental";"200.000,00";"0,00";"0,00";
"2022";"ANTONIO BRITO";"0006";"ITAGI - BA";"Segurança pública";"Policiamento";"200.000,00";"0,00";"0,00";
"2022";"CHRISTINO AUREO";"0007";"RIO DE JANEIRO (UF)";"Desporto e lazer";"Desporto comunitário";"200.000,00";"0,00";"0,00";
"2022";"LIDICE DA MATA";"0007";"BAHIA (UF)";"Educação";"Ensino superior";"200.000,00";"100.000,00";"100.000,00";
"2022";"RAIMUNDO COSTA";"0006";"BAHIA (UF)";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"JOENIA WAPICHANA";"0013";"RORAIMA (UF)";"Segurança pública";"Policiamento";"200.000,00";"0,00";"0,00";
"2022";"CARMEN ZANOTTO";"0003";"SANTA CATARINA (UF)";"Ciência e Tecnologia";"Desenvolvimento tecnológico e engenharia";"200.000,00";"0,00";"0,00";
"2022";"SORAYA THRONICKE";"0002";"MATO GROSSO DO SUL (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"100.000,00";"100.000,00";
"2022";"MARCOS DO VAL";"0002";"ESPÍRITO SANTO (UF)";"Defesa nacional";"Defesa naval";"200.000,00";"199.920,37";"198.702,47";
"2022";"PASTOR EURICO";"0001";"PERNAMBUCO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"200.000,00";"0,00";"0,00";
"2022";"ATILA LINS";"0005";"AMAZONAS (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"200.000,00";"200.000,00";"200.000,00";
"2022";"ATILA LINS";"0020";"HUMAITÁ - AM";"Assistência social";"Assistência comunitária";"200.000,00";"200.000,00";"200.000,00";
"2022";"MARCELO CALERO";"0022";"RIO DE JANEIRO - RJ";"Cultura";"Difusão cultural";"200.000,00";"200.000,00";"0,00";
"2022";"ALINE SLEUTJES";"0002";"PARANÁ (UF)";"Segurança pública";"Policiamento";"200.000,00";"0,00";"0,00";
"2022";"JOAO DANIEL";"0003";"INDIAROBA - SE";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"TIAGO DIMAS";"0005";"TOCANTINS (UF)";"Educação";"Ensino superior";"200.000,00";"200.000,00";"200.000,00";
"2022";"STEFANO AGUIAR";"0001";"POÇOS DE CALDAS - MG";"Encargos especiais";"Outras transferências";"200.000,00";"0,00";"0,00";
"2022";"PEDRO WESTPHALEN";"0016";"SÃO MARTINHO - RS";"Encargos especiais";"Outras transferências";"200.000,00";"200.000,00";"200.000,00";
"2022";"ALESSANDRO MOLON";"0020";"RIO DE JANEIRO (UF)";"Desporto e lazer";"Desporto comunitário";"200.000,00";"0,00";"0,00";
"2022";"ALENCAR SANTANA BRAGA";"0015";"SÃO PAULO (UF)";"Cultura";"Difusão cultural";"200.000,00";"100.000,00";"100.000,00";
"2022";"MARCELO CALERO";"0020";"RIO DE JANEIRO - RJ";"Cultura";"Difusão cultural";"200.000,00";"200.000,00";"200.000,00";
